name	salary
Faksa, Radek	$3,250,000
Joseph, Mathieu	$2,950,000
Holloway, Dylan	$2,290,457
Texier, Alexandre	$2,100,000
Sundqvist, Oskar	$1,500,000
Toropchenko, Alexey	$1,250,000
Kapanen, Kasperi	$1,000,000
Robertsson, Simon	$867,500
Neighbours, Jake	$835,833
Walker, Nathan	$775,000
Parayko, Colton	$6,500,000
Faulk, Justin	$6,500,000
Broberg, Philip	$4,580,917
Leddy, Nick	$4,000,000
Perunovich, Scott	$1,150,000
Jiricek, Adam	$975,000
Joseph, Pierre-Olivier	$950,000
Kessel, Matthew	$800,000
Suter, Ryan	$775,000
Binnington, Jordan	$6,000,000
Hofer, Joel	$775,000
Kucherov, Nikita	$9,500,000
Point, Brayden	$9,500,000
Guentzel, Jake	$9,000,000
Hagel, Brandon	$6,500,000
Cirelli, Anthony	$6,250,000
Paul, Nicholas	$3,150,000
Sheary, Conor	$2,000,000
Atkinson, Cam	$900,000
Girgensons, Zemgus	$850,000
Eyssimont, Michael	$800,000
Glendening, Luke	$800,000
Chaffee, Mitchell	$800,000
Hedman, Victor	$7,875,000
McDonagh, Ryan	$6,750,000
Cernak, Erik	$5,200,000
Moser, J.J.	$3,375,000
Perbix, Nick	$1,125,000
Raddysh, Darren	$975,000
Lilleberg, Emil	$870,000
Vasilevskiy, Andrei	$9,500,000
Johansson, Jonas	$775,000
Matthews, Auston	$13,250,000
Nylander, William	$11,500,000
Tavares, John	$11,000,000
Marner, Mitch	$10,903,000
Domi, Max	$3,750,000
Kampf, David	$2,400,000
McMann, Bobby	$1,350,000
Reaves, Ryan	$1,350,000
Dewar, Connor	$1,180,000
Knies, Matthew	$925,000
Robertson, Nicholas	$875,000
Pacioretty, Max	$873,770
Holmberg, Pontus	$800,000
Lorentz, Steven	$775,000
Rielly, Morgan	$7,500,000
Tanev, Chris	$4,500,000
Ekman-Larsson, Oliver	$3,500,000
Liljegren, Timothy	$3,000,000
McCabe, Jake	$2,000,000
Benoit, Simon	$1,350,000
Timmins, Conor	$1,100,000
Myers, Philippe	$775,000
Stolarz, Anthony	$2,500,000
Woll, Joseph	$766,667
Pettersson, Elias	$11,600,000
Miller, J.T.	$8,000,000
Boeser, Brock	$6,650,000
